iter	Passed	Remaining
0	3	3394
1	6	3238
2	9	3235
3	12	3204
4	15	3166
5	18	3093
6	21	3052
7	24	3030
8	27	3031
9	30	3033
10	33	3032
11	36	3012
12	39	2993
13	42	3006
14	45	2990
15	48	2990
16	51	2986
17	54	2978
18	57	2977
19	60	2973
20	63	2969
21	66	2961
22	69	2954
23	72	2951
24	75	2942
25	78	2935
26	81	2926
27	84	2918
28	86	2908
29	89	2908
30	92	2899
31	95	2893
32	98	2887
33	101	2884
34	104	2874
35	107	2878
36	110	2879
37	113	2873
38	116	2871
39	119	2871
40	122	2871
41	125	2863
42	128	2851
43	130	2841
44	133	2829
45	135	2820
46	138	2817
47	141	2811
48	144	2801
49	146	2792
50	149	2783
51	152	2773
52	155	2770
53	157	2764
54	160	2755
55	162	2747
56	165	2736
57	167	2727
58	170	2722
59	173	2715
60	175	2708
61	178	2701
62	181	2694
63	183	2688
64	186	2686
65	189	2682
66	192	2680
67	195	2677
68	198	2676
69	201	2673
70	204	2673
71	222	2862
72	227	2890
73	232	2907
74	237	2926
75	241	2935
76	245	2939
77	248	2939
78	251	2937
79	254	2931
80	257	2923
81	260	2915
82	263	2907
83	265	2899
84	268	2894
85	271	2889
86	274	2880
87	277	2874
88	280	2866
89	282	2859
90	285	2852
91	288	2843
92	290	2837
93	293	2829
94	296	2821
95	298	2814
96	301	2809
97	304	2802
98	307	2796
99	310	2791
100	312	2785
101	315	2778
102	318	2772
103	321	2767
104	324	2763
105	326	2755
106	329	2749
107	332	2747
108	335	2740
109	337	2733
110	340	2727
111	343	2720
112	345	2714
113	348	2709
114	351	2704
115	354	2698
116	357	2695
117	360	2691
118	362	2686
119	365	2683
120	368	2678
121	371	2673
122	374	2667
123	376	2661
124	379	2655
125	382	2650
126	384	2645
127	387	2639
128	390	2634
129	392	2628
130	395	2622
131	398	2618
132	401	2614
133	404	2610
134	406	2606
135	409	2601
136	412	2599
137	415	2596
138	418	2592
139	421	2589
140	424	2584
141	426	2579
142	429	2575
143	432	2571
144	435	2565
145	437	2560
146	440	2555
147	443	2552
148	446	2550
149	449	2546
150	452	2542
151	454	2537
152	457	2533
153	460	2528
154	463	2526
155	466	2522
156	468	2517
157	471	2513
158	474	2508
159	476	2504
160	479	2499
161	482	2494
162	484	2489
163	487	2484
164	490	2479
165	492	2476
166	496	2474
167	499	2472
168	502	2470
169	505	2468
170	508	2467
171	511	2464
172	514	2461
173	517	2457
174	521	2457
175	524	2454
176	527	2451
177	530	2448
178	532	2443
179	535	2439
180	538	2435
181	540	2430
182	543	2428
183	546	2423
184	549	2418
185	551	2414
186	554	2410
187	556	2405
188	559	2402
189	562	2398
190	565	2394
191	568	2390
192	570	2386
193	573	2382
194	576	2378
195	578	2373
196	581	2370
197	584	2365
198	586	2361
199	589	2356
200	592	2353
201	594	2348
202	597	2344
203	600	2341
204	602	2337
205	605	2333
206	608	2330
207	611	2326
208	613	2322
209	616	2318
210	619	2314
211	621	2311
212	624	2308
213	627	2305
214	630	2301
215	632	2297
216	635	2293
217	638	2289
218	641	2286
219	643	2283
220	646	2279
221	649	2276
222	652	2272
223	654	2268
224	657	2266
225	660	2262
226	663	2258
227	665	2254
228	668	2251
229	671	2247
230	674	2244
231	676	2240
232	679	2235
233	681	2231
234	684	2228
235	687	2224
236	689	2221
237	692	2217
238	695	2213
239	697	2210
240	700	2206
241	703	2203
242	706	2200
243	709	2197
244	711	2193
245	714	2189
246	716	2185
247	719	2182
248	722	2179
249	725	2175
250	728	2172
251	730	2168
252	733	2165
253	736	2162
254	739	2159
255	741	2156
256	744	2152
257	747	2149
258	750	2146
259	753	2143
260	755	2139
261	758	2136
262	761	2132
263	763	2129
264	766	2125
265	769	2123
266	772	2119
267	774	2116
268	777	2112
269	780	2109
270	782	2106
271	785	2103
272	788	2099
273	791	2095
274	793	2092
275	796	2089
276	799	2085
277	802	2083
278	804	2079
279	807	2076
280	810	2073
281	812	2069
282	815	2066
283	818	2063
284	821	2060
285	823	2056
286	826	2053
287	829	2050
288	831	2046
289	834	2043
290	837	2040
291	840	2037
292	842	2033
293	845	2030
294	848	2028
295	851	2025
296	854	2021
297	856	2018
298	859	2015
299	862	2012
300	865	2009
301	868	2006
302	870	2002
303	873	1999
304	875	1995
305	878	1992
306	881	1988
307	883	1985
308	886	1982
309	889	1979
310	891	1975
311	894	1972
312	897	1969
313	900	1966
314	902	1963
315	905	1960
316	908	1956
317	910	1953
318	913	1949
319	916	1947
320	919	1944
321	922	1941
322	924	1938
323	927	1935
324	930	1932
325	933	1929
326	936	1926
327	938	1923
328	941	1920
329	944	1917
330	947	1915
331	950	1911
332	952	1908
333	955	1905
334	958	1901
335	961	1899
336	964	1897
337	967	1894
338	970	1891
339	972	1887
340	975	1884
341	978	1881
342	980	1878
343	983	1875
344	985	1871
345	988	1868
346	990	1864
347	993	1861
348	996	1858
349	999	1855
350	1001	1852
351	1004	1849
352	1007	1846
353	1010	1843
354	1013	1840
355	1015	1837
356	1018	1834
357	1021	1831
358	1024	1828
359	1027	1826
360	1029	1823
361	1032	1819
362	1035	1816
363	1037	1813
364	1040	1810
365	1044	1808
366	1047	1805
367	1049	1802
368	1052	1799
369	1055	1796
370	1058	1793
371	1061	1791
372	1064	1789
373	1067	1786
374	1070	1783
375	1072	1780
376	1075	1777
377	1078	1773
378	1080	1770
379	1083	1767
380	1085	1763
381	1088	1760
382	1091	1757
383	1093	1754
384	1096	1751
385	1099	1748
386	1101	1745
387	1104	1742
388	1107	1739
389	1109	1736
390	1112	1732
391	1115	1730
392	1118	1727
393	1121	1724
394	1124	1721
395	1127	1719
396	1129	1716
397	1132	1713
398	1135	1710
399	1138	1707
400	1141	1704
401	1144	1702
402	1147	1699
403	1150	1696
404	1153	1694
405	1156	1692
406	1159	1689
407	1162	1686
408	1165	1683
409	1168	1680
410	1170	1677
411	1173	1674
412	1176	1671
413	1178	1668
414	1181	1665
415	1183	1662
416	1186	1658
417	1189	1656
418	1192	1653
419	1195	1650
420	1198	1647
421	1200	1644
422	1203	1642
423	1206	1639
424	1209	1636
425	1212	1633
426	1214	1630
427	1217	1627
428	1220	1624
429	1223	1621
430	1225	1617
431	1228	1614
432	1230	1611
433	1233	1608
434	1236	1605
435	1238	1602
436	1241	1599
437	1244	1596
438	1246	1593
439	1249	1589
440	1252	1587
441	1254	1584
442	1257	1580
443	1259	1577
444	1262	1574
445	1265	1571
446	1267	1568
447	1270	1565
448	1273	1562
449	1275	1559
450	1278	1556
451	1281	1553
452	1283	1550
453	1286	1547
454	1289	1544
455	1291	1541
456	1294	1537
457	1297	1535
458	1299	1531
459	1302	1528
460	1304	1525
461	1307	1522
462	1309	1519
463	1312	1516
464	1315	1513
465	1318	1510
466	1320	1507
467	1323	1504
468	1325	1501
469	1328	1498
470	1331	1494
471	1333	1491
472	1336	1488
473	1338	1485
474	1341	1482
475	1344	1479
476	1346	1476
477	1349	1474
478	1352	1471
479	1355	1468
480	1357	1464
481	1360	1461
482	1362	1458
483	1365	1455
484	1368	1452
485	1370	1449
486	1373	1446
487	1376	1443
488	1378	1440
489	1381	1437
490	1383	1434
491	1386	1431
492	1389	1428
493	1391	1425
494	1394	1422
495	1397	1420
496	1400	1417
497	1403	1414
498	1406	1412
499	1409	1409
500	1412	1406
501	1415	1404
502	1418	1401
503	1420	1398
504	1423	1395
505	1426	1392
506	1428	1389
507	1431	1386
508	1434	1383
509	1436	1380
510	1439	1377
511	1441	1374
512	1444	1371
513	1447	1368
514	1450	1365
515	1452	1362
516	1455	1359
517	1458	1356
518	1460	1353
519	1463	1351
520	1466	1348
521	1469	1345
522	1471	1342
523	1474	1339
524	1477	1336
525	1480	1333
526	1482	1330
527	1485	1327
